pathway,memory_vs_intermediate_padj,memory_vs_intermediate_NES,memory_vs_effector_padj,memory_vs_effector_NES,intermediate_vs_effector_padj,intermediate_vs_effector_NES
GSE7852_TREG_VS_TCONV_FAT_UP,0.14405502366951836,-1.2580528738062404,0.36789076195488146,1.1075257977931399,0.31541962388227274,1.1587019602060817
GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDM_DN,0.17042065895754932,-1.258262722136869,0.1946817785527463,1.2325195906655988,0.026188479649100177,1.4874328902614853
GSE26030_TH1_VS_TH17_DAY15_POST_POLARIZATION_UP,0.1690566037735849,-1.2582819033787465,0.2734628240425012,-1.126842530861611,0.8515953233420993,0.8699494707465968
GSE27786_BCELL_VS_NEUTROPHIL_DN,0.18182355898618877,-1.258334955315487,0.6732050062211813,0.9498925664465061,0.15055158987670347,1.266728305406249
GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP,0.16928667602901362,-1.258462627066693,0.14214001918397265,-1.2572799567366082,0.5019951974725246,1.0456549884400617
GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN,0.16717479674796748,-1.2590160598740099,0.13672499849660233,-1.2571361978057716,0.8973539547282586,0.835716268682015
GSE17721_LPS_VS_GARDIQUIMOD_6H_BMDM_DN,0.1538603824403184,-1.2591476494576284,0.6803562624458147,0.9503118077784801,0.4439046717611585,1.0812858203597802
GSE1460_DP_VS_CD4_THYMOCYTE_UP,0.17341040462427748,-1.259256351717544,0.15594591826282903,1.2641244251234096,0.028313729136640473,1.4659490742975367
GSE9650_GP33_VS_GP276_LCMV_SPECIFIC_EXHAUSTED_CD8_TCELL_DN,0.13581013589376284,-1.2604937903520061,0.08472917173905482,-1.3068935106812083,0.47048652625770254,-1.053128324934482
GSE10325_BCELL_VS_LUPUS_BCELL_DN,0.15657106556305,-1.2607684183150032,0.19556595393296383,1.2283974193611376,0.0749807142431166,1.3391074103031528
GSE22443_NAIVE_VS_ACT_AND_IL12_TREATED_CD8_TCELL_DN,0.17826807221352103,-1.2611988099793952,0.3041732513901083,-1.1033396665031683,0.8229765489551966,0.8855321648271729
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_NOD_DN,0.18510306562436155,-1.26148851136649,0.04107163932491443,-1.449701384260183,0.09814797405283443,-1.281945573836995
