pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdgestr
HALLMARK_MYOGENESIS,0.8605769230769231,0.9354096989966555,0.19001610445229375,0.8532162929905619,178,142,"DAPK2, BHLHE40, MYL3, BIN1, FOXO4, LPIN1, SLC6A8, MYOM2, SPTAN1, ATP6AP1, NAV2, SORBS1, GABARAPL2, TNNT3, FXYD1, PYGM, RIT1, ITGB1, PDE4DIP"
HALLMARK_PROTEIN_SECRETION,0.31620553359683795,0.42730477513086207,0.2569647456571618,1.0668529077185087,79,88,"VAMP4, RAB14, MON2, ARFGEF1, ARFGAP3, SCAMP3, GALC, VPS45, VPS4B, AP1G1, ATP7A, NAPA, AP2B1, TMED10, CLTC, GOLGA4, CLN5, TMX1, RAB5A, USO1, ADAM10, SNX2, RPS6KA3, SEC31A, STX16, GOSR2, YKT6, COPE, STX7, TSG101, ARCN1, ARFGEF2, YIPF6, SEC24D, VAMP3, RAB2A, DNM1L, TMED2, PAM, CTSC"
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.005412719891745603,0.015919764387487066,-0.43404950626915756,-1.6131994314211962,3,85,"LY6E, CXCL10, PSMB9, IFI30, PSME1, LAP3, MVB12A, SELL, CNP, CD74, EIF2AK2, IFITM1, PROCR, USP18, CMPK2, TAP1, OGFR, TRAFD1, IRF1, BATF2, EPSTI1, SAMD9L, ADAR, HERC6, OASL, IL4R, RNF31, RSAD2, PSMB8, MOV10, PARP12, RTP4, PNPT1, DDX60, SP110, BST2"
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0012300123001230013,0.004775549188156638,-0.4051227180639222,-1.660958957839051,0,178,"LY6E, SOCS3, CASP3, CXCL10, PSMB9, IFI30, CIITA, SOCS1, HIF1A, MTHFD2, PSME1, LAP3, OAS3, IRF8, CDKN1A, FPR1, CXCL9, IL18BP, RAPGEF6, CD74, EIF2AK2, ST3GAL5, PML, IRF5, HLA-DMA, IFNAR2, XCL1, CSF2RB, NFKBIA, USP18, PLA2G4A, CMPK2, TAP1, OGFR, ISOC1, VCAM1, TRAFD1, IL2RB, IRF1, PSMA2, IRF4, FCGR1A, GPR18, BATF2, RBCK1, EPSTI1, SAMD9L, ADAR, CD38, HERC6, OASL, SPPL2A, NAMPT, BANK1, IL4R, RNF31, RSAD2, PSMB8, CD40, IL15RA, PARP12, RTP4, PNP, LYSMD2, OAS2, MT2A, PNPT1, DDX60, CD69, SP110"
HALLMARK_APICAL_JUNCTION,0.7071339173967459,0.8035612697690295,-0.22234313532439925,-0.896823293753778,564,155,"PECAM1, ACTG1, TRAF1, CDH1, MAPK11, SDC3, TUBG1, ATP1A3, SYK, ITGA2, TGFBI, PTK2, ACTN1, FSCN1, LIMA1, PIK3CB, MMP9, VCAM1, ADAM23, VWF, CTNND1, CNN2, SIRPA, SLC30A3, TSPAN4, GRB7, DLG1, BAIAP2, MPZL1"
HALLMARK_APICAL_SURFACE,0.32967032967032966,0.43377674956622325,-0.36473998937457713,-1.1118485430008345,209,30,"CD160, BRCA1, LYN, APP, MDGA1, PLAUR, IL2RB, MAL"
HALLMARK_HEDGEHOG_SIGNALING,0.27170868347338933,0.3881552621048419,0.344758353651159,1.147487197860326,96,29,"NRP1, PTCH1, THY1, L1CAM, TLE1, DPYSL2, NRP2, RASA1"
HALLMARK_COMPLEMENT,0.16336633663366337,0.2722772277227723,-0.2856835389389156,-1.1580095705712046,131,161,"CASP3, CD55, DUSP6, PSMB9, ZEB1, GNG2, CPM, CPQ, LAP3, CD36, KCNIP3, DOCK9, CTSH, C1QC, LYN, EHD1, PREP, CALM3, LRP1, FCER1G, LGMN, C1QA, PLA2G4A, MAFF, FDX1, XPNPEP1, PDGFB, PLAUR, SPOCK2, IRF1, PLA2G7, CTSS, KYNU, APOC1, RHOG, KLK1, CTSB"
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.7609819121447028,0.8455354579385587,-0.22548575319495617,-0.862671363551098,588,102,"DCP2, PSAT1, PDIA5, SDAD1, MTHFD2, NPM1, EIF4A3, ASNS, CKS1B, SPCS3, ATF3, DKC1, TUBB2A, EIF4A1, ATF4, KDELR3, SLC30A5, EIF2S1, FUS, HYOU1, LSM4, IMP3, WFS1"
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.9397590361445783,0.9789156626506025,0.18767422833901778,0.7809880959762546,233,90,"FASLG, LCK, GSK3B, SFN, PRKAR2A, GRB2, IL2RG, DDIT3, CAB39, TBK1, RIT1, RPTOR, CLTC, PRKAG1, MKNK2, MAP3K7, CXCR4, SMAD2, CDKN1B, RPS6KA3, RIPK1, NOD1"
