Gene,memory_vs_intermediate_log2FoldChange,memory_vs_intermediate_pvalue,memory_vs_intermediate_padj,memory_vs_effector_log2FoldChange,memory_vs_effector_pvalue,memory_vs_effector_padj,intermediate_vs_effector_log2FoldChange,intermediate_vs_effector_pvalue,intermediate_vs_effector_padj
Ypel4,-0.16632562385465827,0.9511800475226585,NA,-0.6538380013125463,0.7922985589031168,NA,-0.48751237745788806,0.8456942323599751,NA
Poglut1,0.4128015780507212,0.02564728761898818,0.2216231471596361,-0.023782784680414525,0.8900575261364643,0.9454684358034445,-0.43658436273113577,0.011658093783458947,0.0408118662894472
Farp2,0.08519343432930898,0.868127395683229,0.9765087900217243,-0.040923793687688004,0.9310496552963471,0.9668310293671027,-0.12611722801699699,0.7927080808145736,0.8828976893700696
Zfp551,0.026321635457938995,0.965738073672203,0.9936337860320102,-0.23780555871395662,0.6784498843218555,0.8183760874933103,-0.2641271941718956,0.6468823489042834,0.7873657109617069
Zdhhc5,0.08841577680972261,0.7030225123373268,0.9367561984282493,0.17151100991251367,0.42899226009587105,0.6242169381750438,0.08309523310279106,0.702111132236362,0.8267994080060487
Ccdc174,-0.04201397490624938,0.8199970776823015,0.9644778363099842,0.015500695467013555,0.9281903176853622,0.9651962575204488,0.05751467037326293,0.7385096865020673,0.8498601633773274
Hdlbp,-0.10932948061228319,0.5289417057456451,0.8744211545730838,0.8568477763811703,1.3671959983657312e-7,2.2014037791511336e-6,0.9661772569934535,2.8147030074941537e-9,6.392267953408998e-8
Ctnnd1,-1.4091770259803167,0.2145167769037342,0.6372351358629094,2.711009078227857,0.019344147449813904,0.06408464232819266,4.120186104208174,3.449265806728586e-4,0.002178415135770828
Tldc1,0.20740411378425444,0.2786948223026011,0.7104817419078998,0.09618949050013569,0.589102451557272,0.7558805072047616,-0.11121462328411875,0.537090340668543,0.7058249234458062
Ano7,1.7724093633785398,0.11620903595950897,0.47923452154745255,3.382062241538244,0.005215971315796937,0.022393803521164133,1.6096528781597041,0.19198261583563783,0.3529138735227141
Ccs,0.16098563600507074,0.3511158187890007,0.7735828029780246,-0.036803153237161136,0.8192454595827348,0.9074251408892906,-0.19778878924223187,0.22107521859221338,0.3907234742285791
Golim4,-0.32493786080244347,0.0858325496482228,0.4160330640657584,-1.368075619145079,8.185216888569693e-15,4.5401345441366755e-13,-1.0431377583426353,3.0606114616904963e-9,6.900812635321024e-8
Kctd7,-0.3095577062881266,0.29884430547396856,0.7295363337674182,-0.30876192434804595,0.2657126942347179,0.45460678327486853,7.957819400806831e-4,0.9977238882686713,0.9995593511434957
Tmed8,0.10920861702319032,0.5795486862943087,0.8967409036823752,-0.5522803355256016,0.002331552638540098,0.011416260473376441,-0.6614889525487919,2.956880746166201e-4,0.0018997163933702208
Scn11a,0.28501357574512687,0.6061693235185155,0.904654427973548,0.6113931272371594,0.24252605985446657,0.42688441893646045,0.32637955149203257,0.5403679629366236,0.7086029173796607
Vav1,-0.0032378149202649006,0.9773728856048103,0.9959963955659799,-0.10436688777673332,0.3281145820639365,0.5257508497181616,-0.10112907285646842,0.34358300334218944,0.5303612628809666
Ptgdr2,0.7187363117195857,0.3980672328659954,0.8058902722009605,-0.9828393613975065,0.18118606227829076,0.34874618519315187,-1.7015756731170923,0.029365021153856745,0.08548404452827968
Tpst1,-0.6179723281925472,0.17001936309433135,0.5749107020065385,1.466844654079607,0.001072138089843436,0.0060026331305109365,2.0848169822721543,2.7736441824807433e-6,3.333553676214284e-5
Srsf2,0.2904926445738221,0.3619096582867915,0.7839572937590104,-0.533461061779161,0.07338686305148978,0.18175270091657325,-0.823953706352983,0.005693448337235677,0.022695113338563947
Mks1,0.6879776707446694,6.36342508694495e-4,0.019178088121202898,0.027384631455704894,0.8828296040673457,0.9413066230119957,-0.6605930392889646,4.8450956016412043e-4,0.0029000173205187213
Pomt2,0.25649148385249837,0.44118489568141406,0.831833523230441,0.7187016427220655,0.022159905721084325,0.07145289665515404,0.46221015886956707,0.14440172499198817,0.28742901357715195
Sik3,-0.03877081233192995,0.9021757073484512,0.9821625854624754,-0.04906499081654887,0.8669447045708866,0.9338391061455372,-0.01029417848461892,0.9720240997343003,0.9847261389061467
Exoc3,-0.11290133289819029,0.48556503685041197,0.8536071653441524,-0.37281353342251095,0.013696343081595466,0.04832289930087916,-0.2599122005243206,0.08567392264182294,0.19507658107287565
Ino80,-0.08848424074101381,0.5834065680162598,0.8980660548145698,-0.5947879213997258,6.823823552181088e-5,5.657363385510244e-4,-0.506303680658712,6.908895702761204e-4,0.0038917786231378766
Bzrap1,-0.44629347067888653,0.5239635287866036,0.871647746728219,1.5190716469741943,0.020696247730604748,0.06767548354471888,1.9653651176530809,0.0027517964799737703,0.012459419515551063
Cipc,0.190077452006164,0.46549032067161905,0.8428610465078551,-0.00395550705856011,0.9870295221701163,0.9947190275577522,-0.19403295906472412,0.4257625518170685,0.6092016527700376
Lrrc58,0.09384462826015909,0.8744229434496562,0.9774977292185258,-0.7046269446155117,0.2044227824256677,0.37992101347907287,-0.7984715728756707,0.15047092038580914,0.29633649182514266
Ogt,0.46467584131510825,4.4879646440914275e-5,0.0027309778748377724,0.20081839644913993,0.0591118162382152,0.154155356582804,-0.26385744486596835,0.013267693827122468,0.04541090788211107
Zfc3h1,-0.21394617764927235,0.40534177721805414,0.8097417388662196,-0.6448699336569065,0.007283001739134917,0.02948085385412137,-0.43092375600763416,0.0728597978364113,0.1726061197682188
Emid1,1.1530227035910907,0.04260858145419547,0.293338451346938,2.651320958376608,1.846168440237071e-6,2.3178664173291774e-5,1.4982982547855173,0.009647419452564846,0.03495048233898005
Ccnd3,-0.42956912399183966,9.116443645897448e-4,0.025147908859824937,-0.2571886514553173,0.03379844665028975,0.09972948980532177,0.17238047253652244,0.1547421657133669,0.30248279670487654
Irf2bpl,0.030013579554542646,0.9355301466717517,0.9875980579281186,0.5426804412605443,0.11816991589939844,0.2560014768142228,0.5126668617060016,0.14000476250009772,0.2812535634758207
Faah,0.8059505059271912,1.7551439527572625e-4,0.007442090435853468,1.3772153292020637,8.060650285362669e-12,2.947236949235869e-10,0.5712648232748724,0.004725106412994937,0.019411045169311147
Zbed5,1.7024128088571138,0.017157020820927064,0.17246808508703668,0.04968918071092131,0.9379485118866896,0.9702465929711572,-1.6527236281461926,0.013437480118047615,0.04590750303756108
Rhbdd3,0.19702830197301632,0.5729049330932241,0.8942121492084174,0.3882465392868584,0.23897427657601833,0.4223613359645869,0.1912182373138421,0.5629943133759132,0.7253673363711227
Rnf43,0.47716819130125043,0.4913852153805977,0.8558176194901539,2.3331002846064646,3.321286892949961e-4,0.002212639171535304,1.855932093305214,0.004324961390137573,0.01806900333951652
Nsf,-0.2568988182905566,0.09596848646633376,0.4382672664358024,-0.5960378639067495,3.581059389201321e-5,3.211124124971514e-4,-0.33913904561619285,0.01867597024211999,0.059805326210673755
Hsdl1,0.357219383092223,0.09733537608827937,0.44038697466154086,0.1941203625005047,0.3350913711734751,0.5334769780614237,-0.16309902059171832,0.41880247797584036,0.6038060545101525
Chmp7,-0.14243018239250999,0.638554725292048,0.9164996385786031,0.13235643811848388,0.640967605244817,0.7918615098307917,0.2747866205109939,0.33289829748601546,0.5192418904476075
Lsm3,-0.3252142296982292,0.03576888656010542,0.2667274828941818,0.48711877160512557,8.29805394529268e-4,0.004825314329239327,0.8123330013033548,2.3576435185253562e-8,4.492411852497632e-7
R3hcc1,-0.06125026715647444,0.646815719181587,0.9197941278761034,-0.09123365667903874,0.4653566582326186,0.6563793015978268,-0.0299833895225643,0.8105173735187716,0.89321457299848
Gas2l1,-0.23441227858922967,0.6901507049329678,0.9321600817955817,0.8484028205777565,0.13841302738892441,0.2877808748636381,1.0828150991669863,0.053992863754380394,0.13797168330697787
Chchd4,-0.1757967456394531,0.35082364302397356,0.7735828029780246,0.004623162239863055,0.9791142887476688,0.9904472699002448,0.18041990787931617,0.3064268269311025,0.49035868671872135
Loxl2,-0.3974809177039289,0.4149670829797542,0.8166613975086394,-0.2768691909808671,0.5453191036242471,0.7223613353443261,0.12061172672306177,0.7899873077564594,0.8812743260727456
Polq,-0.42672283878391687,0.20025314914683168,0.6209536771795792,1.4088611355482534,8.728441696226976e-6,9.187941329588866e-5,1.8355839743321702,6.574306254061262e-9,1.397562180818868e-7
Efcab14,0.18910216714006284,0.17526616563476638,0.5823559114445233,0.2190298307105964,0.09302272608254876,0.21551728442970952,0.029927663570533558,0.8189092948549186,0.8990912523246349
Mrps17,-0.11484629307915814,0.3759881807345319,0.7931639278023013,0.11454172890306379,0.3453515657102022,0.5442635542163861,0.22938802198222194,0.05886222629016742,0.1474419891951641
Ankmy1,-0.6435122442535256,0.5342034368523011,0.8772586732605943,-0.2815135290530968,0.7731811283344163,0.8796795005549883,0.36199871520042887,0.7065942251987392,0.8297407786354037
Vps18,0.11179433179663004,0.6365625072578416,0.9161219679054868,0.42620422184904944,0.05471730521344058,0.14521037478951287,0.3144098900524194,0.15731215502269102,0.30599143745257773
Atm,0.03850543916153889,0.8942873954548132,0.9800893621499639,-0.09654985406659905,0.7214127858949876,0.8466971157611922,-0.13505529322813795,0.6185894446637703,0.7673885072834701
Gpc1,0.17172614682381965,0.7418321867235504,0.9457669577520784,1.740950946098486,4.08892823919898e-4,0.002645620741548896,1.5692247992746664,0.0014581857006789262,0.007309529939243077
Slc38a8,0.28280797246681183,0.7359325189037891,0.9442823939726619,-0.20321858718262933,0.791118776279216,0.890027252484674,-0.4860265596494412,0.5348889499382165,0.7042969907567729
Usp54,0.6830733356471075,0.053212227717862486,0.32920548952498313,-0.3143805867866379,0.327503586659402,0.5248729097942433,-0.9974539224337453,0.0023731893181046294,0.011001235049013701
Golgb1,0.0750798878030208,0.761756985982575,0.951816861895482,0.5051002185653753,0.02897659602739397,0.08846043079026054,0.4300203307623546,0.0633993629844164,0.15552365729168421
Hdac11,-0.001052007749557701,0.9983386817775408,0.9999074804494607,-1.6669160980546538,3.6641294013710823e-4,0.002413475821873688,-1.6658640903050963,3.9925867299729596e-4,0.002461715755886541
Plekhm1,0.022261676143693905,0.9339424182553602,0.9870645316721205,-0.17597980546632117,0.48312781921864856,0.6710899371314395,-0.19824148161001506,0.42993468508340155,0.6127274283538042
