Gene,effector_vs_all_log2FoldChange,effector_vs_all_pvalue,effector_vs_all_padj,intermediate_vs_all_log2FoldChange,intermediate_vs_all_pvalue,intermediate_vs_all_padj,memory_vs_all_log2FoldChange,memory_vs_all_pvalue,memory_vs_all_padj
Vti1a,0.19947917965297346,0.16552860290082919,0.3044354359742925,-0.016958854182997633,0.9125792388484102,0.9615840698834272,-0.18252032546997582,0.23739055210198287,0.5433896308695118
Tcf7l2,-3.1360514858021795,6.216950496072873e-7,6.622050243022687e-6,1.8787008174377946,0.00432977496715187,0.033763124856692285,1.2573506683643854,0.056382965724261276,0.22962100406533187
Hhex,-3.5019122283261375,6.543600226471353e-9,1.0336134820882716e-7,0.4673281194382719,0.4474794951497384,0.7007253895349934,3.0345841088878656,6.568409744884632e-7,2.5403650933858448e-5
Cyp26a1,2.3683009718584582,0.15094679809059455,NA,1.0535867024692365,0.559292646795201,NA,-3.421887674327694,0.0835964778425237,NA
Cep55,-2.3218508896110572,9.795062429823803e-16,3.848428475717615e-14,1.560866055797495,3.8817665588741e-7,1.4627226728158459e-5,0.7609848338135617,0.01341490396047803,0.08496445772601909
Eif3a,-0.30868263559139336,0.0019494828697494398,0.00813957937413912,0.24484503845855887,0.02179122421916533,0.10729314293343942,0.06383759713283446,0.5497897538991139,0.8065915665979296
Fam45a,0.4835914774030912,7.441779183788387e-6,6.230229712932371e-5,-0.27388922679582217,0.01874789699573791,0.09608939797447275,-0.20970225060726969,0.0715146306192904,0.268007770791437
Prdx3,-0.12809855569221457,0.2664654800906223,0.4301257023041197,0.07910490350613301,0.5219080028831438,0.755952262396833,0.04899365218608155,0.6914389186355394,0.8784027017762291
Plce1,-2.2269845936739756,0.04518830355781973,0.10989461742118885,-0.04445570109412411,0.9670419583758137,NA,2.2714402947681003,0.029459802266719466,0.14738313412704884
Noc3l,0.3392753917817276,0.0432810243525762,0.10612054636660123,-0.23826436778066493,0.1890765069880054,0.43496828039007185,-0.101011024001062,0.576053608455238,0.82204098592969
Hells,-1.8516014913413636,1.5404198725045762e-12,4.2328469993545994e-11,1.0833314960495166,1.0893441900394096e-4,0.0018371163569330564,0.7682699952918471,0.0060747848828470825,0.04755595672362863
Sorbs1,0.6639295546174085,4.3208659968113806e-5,2.925647588770699e-4,-0.06528083602340025,0.708825502703753,0.8683443946101684,-0.5986487185940083,6.394217668626134e-4,0.00823120452272813
Aldh18a1,-0.14062468415255183,0.41152876862895454,0.5797332093753138,0.08449632648437497,0.6452530187526964,0.8374607711875004,0.05612835766817622,0.7596702964357986,0.9076876214659478
Tctn3,-0.150200762102902,0.46822556405011667,0.6309212699700579,0.07924997563732306,0.7218231415001528,0.8754780052407078,0.07095078646557895,0.7485584267109788,0.9032367192949066
Ccnj,0.33103825169422435,0.24788433285457456,0.4078515664820055,-0.38004566469384393,0.21892185399667213,0.4732168761534473,0.04900741299961959,0.8733708808642489,0.9547274663758409
Dntt,-4.671255965550862,6.970875308367824e-4,0.0033744988388197225,-1.2426133479350372,0.35626772211697816,0.6234083739811944,5.913869313485899,6.026427698029355e-6,1.7063859398358126e-4
Tm9sf3,0.46771098479312867,1.3361746577101149e-4,8.000970978454018e-4,-0.02321896173410242,0.860010843045782,0.9386430660674298,-0.44449202305902563,7.511328323054514e-4,0.009399890872851077
Pik3ap1,0.20920586579113928,0.2062425876527374,0.3566298813228881,-0.19483963243963634,0.2730141847259925,0.5392869497338738,-0.014366233351503575,0.9355065417164101,0.978921018388073
Lcor,0.5146787228543466,5.142082009659295e-6,4.459125909247625e-5,-0.24659321747353097,0.043747379023287694,0.17221663364745024,-0.2680855053808156,0.028021424333788934,0.1425894145593907
Slit1,0.44380078096313613,0.8052031460759218,NA,-0.0813536853511936,0.9653184986308943,NA,-0.36244709561194255,0.850874872640109,NA
Smndc1,0.2228798677727595,0.02304901466618956,0.06393600948117967,0.0056729767751094624,0.9570937518433204,0.9821146606593929,-0.22855284454786898,0.030342736557847118,0.15082772061692454
Mxi1,1.3312515128746993,1.78192029861638e-19,1.0677218752512061e-17,-0.29764793972813214,0.06641487745521568,0.22696372078047225,-1.0336035731465674,3.453199220672688e-10,3.0402035349841956e-8
Add3,0.36198363260544525,0.0046191954481152805,0.01678310802036775,-0.27730090254894957,0.0431644958838955,0.1712591851234221,-0.08468273005649696,0.5367412077448004,0.7978708603163841
Xpnpep1,-0.4264479559039716,1.0501333988207742e-4,6.474256701057465e-4,0.36820876063369695,0.0017294862169533885,0.01667190402195179,0.05823919527027531,0.6205313269762693,0.8440112451381289
Trim8,0.6068584207107494,4.385945906716704e-8,5.943918824866601e-7,-0.23022593185381582,0.05384937365023381,0.1968274355635838,-0.3766324888569335,0.0016080906401761384,0.01702341269842051
Arl3,0.48273070248628797,0.052124778190263475,0.12315277938240281,-0.21998397602029532,0.410535409480469,0.6726464786103069,-0.262746726465992,0.3253709227785794,0.6381225317433619
Sfxn2,0.29133400274516114,0.11405529379535582,0.22988127389330573,-0.14268379851490998,0.4717719793983411,0.721154395169564,-0.14865020423025055,0.45294581552462243,0.7429651425888386
Maoa,0.3554207118511501,0.3496014261869536,0.5189278501711235,-0.9508803498420224,0.025087801771217205,0.1177453153458063,0.5954596379908723,0.1400616998043411,0.40179821849847486
Fundc1,0.13698270114051964,0.3464575471095607,0.5157568270888981,-0.30762536002654534,0.04923411500215289,0.18603769166662482,0.1706426588860257,0.2734956062669611,0.5847745938244031
Nt5c2,0.14179223636486965,0.3081662844652699,0.4754117319645446,0.16577247505347115,0.2655698346888184,0.5308431149155527,-0.30756471141834146,0.03949551860993807,0.1808576806184305
Msr1,-2.3814066559806126,0.009832025295540892,0.031853628425842787,2.195244073659175,0.01583658832821355,0.0857094019893465,0.1861625823214378,0.8392969913625793,0.9427859751388438
Pdcd11,-0.0026495965984455814,0.9861667796599196,0.9921018779362961,-0.20969284804792487,0.2014199636495418,0.45039485546975955,0.2123424446463698,0.1942561248465183,0.48329555627818804
Taf5,-0.0841525698570264,0.8004959253414003,0.8838217558227172,0.40129921189985684,0.2587653897531225,0.5238763868406859,-0.31714664204283044,0.3753068317931133,0.6846496973152171
Pcgf6,-0.6800484399500134,0.011806977506573614,0.037059181676204075,0.34803764583159597,0.22665138476171331,0.48336337699353726,0.3320107941184174,0.24839874076637786,0.5572260630763147
5430427O19Rik,0.4760333178927665,0.0011283232122930574,0.005110435259228779,-0.3411124741166127,0.030533898872631107,0.1348782936279946,-0.13492084377615374,0.3907965578947436,0.697225630785734
Gk,0.28862805413971476,0.16583406801818582,0.30478899903711704,-0.06543272745746977,0.7692302262720777,0.9023354741758831,-0.22319532668224498,0.31772598955080783,0.6309726777148845
Slk,0.6915333394230974,9.157494922126925e-4,0.004259233619543769,-0.2293586138012815,0.30638001256102626,0.5746565519072856,-0.4621747256218159,0.03933799283647604,0.1805137858813673
Col17a1,-0.7413870525299219,0.6379247833037301,0.7712957496065346,-1.731672093490724,0.31098432331688575,NA,2.473059146020646,0.12444243530199472,NA
Sfr1,0.11841417937553891,0.26452635074236797,0.42811690152667253,0.1676078919276928,0.14081047928918486,0.3646486112448611,-0.2860220713032317,0.012040538498527042,0.07853694508346754
Gsto1,-0.033219142899960044,0.909581540978238,0.950199998854656,0.45365460113650385,0.14777370319221783,0.3754466194339534,-0.42043545823654377,0.18042110378742662,0.46438761020833313
Gsto2,-0.028689816472066088,0.9678521007897144,0.9830510934717683,0.6358479054709474,0.3951263630845364,NA,-0.6071580889988815,0.4333020677508717,0.7292461313155881
Habp2,1.4111345788864151,0.008953883175564885,0.029412865965056927,-0.45614975959003456,0.4568437731663189,0.7090724345070794,-0.9549848192963809,0.12578442888281377,0.37741791300340766
Casp7,0.11734964367589726,0.3475527170890487,0.5169147002629418,0.37233311727715973,0.005363704587286977,0.039339737088549626,-0.48968276095305696,2.7369527140537453e-4,0.004138573478206432
Dclre1a,-0.3220554860562233,0.20954408435455993,0.360723943993157,0.35678979560001345,0.19475830350292234,0.44237076738722914,-0.03473430954379079,0.8996695607912105,0.9648167169652939
Nhlrc2,-0.3168332026964617,0.04288666134493888,0.10535546752446524,0.1740888832007313,0.298476419007421,0.5668533793048616,0.1427443194957304,0.393642762721769,0.6999287737122364
Ablim1,-0.08663992942365664,0.5014214651522693,0.6606200204792158,-0.20555609269899194,0.1370148516234373,0.3587813957380981,0.2921960221226486,0.03447269377530118,0.1653330399516224
Trub1,0.06367040603711101,0.6344074686994172,0.768547177579198,-0.5398805098905834,2.1420806957813917e-4,0.0032026166094908516,0.47621010385347246,8.068478793204884e-4,0.009954911863165461
Hspa12a,-1.588556009689381,0.18767325351183076,NA,0.28285724313376137,0.8116355391896839,NA,1.3056987665556197,0.25471893435991216,NA
Slc18a2,1.1502428068714796,7.881741261878199e-19,4.371804224390396e-17,-0.7594068666149996,1.4483445386528215e-7,6.103064832388272e-6,-0.39083594025647944,0.006042610995576839,0.047368281924950316
3110040N11Rik,0.06810637290482964,0.5154783893700836,0.6716101246421655,0.09806122976376844,0.38249850851737904,0.6482961967447926,-0.16616760266859873,0.13974952733963314,0.4015148396524003
Btbd1,0.3004886212608199,0.12576558845942756,0.2477423070741181,0.19926062737736153,0.3441658512096699,0.6130224033386352,-0.49974924863818077,0.018253911995400225,0.10568689298063845
Hdgfrp3,0.3030687483549355,0.05458597673548226,0.1277547170728805,-0.20555350535405806,0.22529942490098767,0.4815085273397969,-0.09751524300087683,0.564792595810544,0.8152221353271322
Ppp1r27,0.003358379429647541,0.9981259815284,NA,-0.479827600562843,0.759839643300671,NA,0.47646922113319545,0.7508886248790327,NA
P4hb,-0.32684547870698055,0.002865868267003743,0.011237665981973968,0.4448025832879884,1.5266443610109198e-4,0.002427177215680858,-0.11795710458100912,0.31542547710064167,0.6290631655985519
