Gene,memory_vs_intermediate_stat,memory_vs_effector_stat,intermediate_vs_effector_stat
Med11,-0.23656960093219842,4.955961322467404,5.20410163810253
Alox15,0.23004483095042272,-0.9973787163086606,-1.237852755663112
Heatr9,-0.6323009433053347,-4.7638531005795235,-4.086905852402092
Ccl6,-1.9747024663565027,-5.361066320810715,-3.2679240114442374
Ccl4,-0.9836053179405814,-3.6813408634815157,-2.630077975034431
Natd1,-0.45486735893816616,-0.07356048753894555,0.4128636203854163
Map2k3,-2.2154175851149,2.9428607541722074,5.310663170397691
Ywhah,-1.5991118177138812,0.8803013191077543,2.58974020555886
Hoxb1,-0.9464634748275403,-1.7524327166996378,-0.774553002037177
Sart3,-2.4946990619924194,1.2834524678650245,3.9466595010523258
E2f2,-3.394975307188945,-0.6300646609603499,2.998542739406817
Slfn3,0.1954534727054598,3.3945330822134956,3.1786011190558376
Nars2,2.302966129393941,0.8836054166646313,-1.5819831012635226
Slc35b4,0.030486181130798828,-1.5361076479851585,-1.5671103869011822
Dnah1,0.9657000651142781,0.85708985193859,-0.19655380096856356
Dalrd3,1.771661850490906,0.8734726196898571,-1.0205524901469156
Fis1,-1.7868928455721398,1.54155940109287,3.4502077571654017
Plod1,-3.17195336622213,-2.622787259209625,0.7707715992813274
Rab3d,-0.04987061456561529,0.32749337214061125,0.38054369489458534
Mfsd3,1.3518474454067666,1.1459800918325922,-0.301364555145285
Slc25a22,1.4226294299757791,2.926851882338781,1.4037133211223416
Atp6ap1,0.5950014532528017,-3.3842574820363254,-4.018702482848361
Dnase1l1,-0.05803395440501146,-1.5865161232763114,-1.5191695111254289
Aldh3a1,-0.5144381266801968,0.49605212392458525,1.0452209392378866
Ccl9,-0.024585607533816924,-6.941979067604913,-6.935671684025
Scrn1,2.6811415959294327,3.132796403787797,0.3704788463839911
BC005537,-0.8991278385020101,-3.005687657692626,-2.0441423171906314
Isyna1,1.140416803622315,3.5752633704878027,2.3540470248390566
Hars2,0.8331635524844909,-0.9556581549306703,-1.8448118192539427
Tmem160,-1.7101348350786731,0.719074956970214,2.5471539734220827
Rab5c,-0.8511154041914489,-1.7278567855359417,-0.8176497514128207
Styxl1,0.39090653327862435,0.36657061224704907,-0.054790948517083944
Mdh2,-0.5773711534301625,0.14211733792999046,0.7593313176267682
H13,0.8962041153708036,-0.06089593899854077,-1.018630852164033
Rnf145,-0.6077010437596779,1.9153810463303176,2.5648658281664245
Scn1b,-1.2823346536600049,-1.3404498798015614,0.019989990008349695
Atp6v1e1,-2.1921344119662756,-2.459632329325041,-0.11624507568324825
Chtf18,-1.6717324708631027,5.6632811329483905,7.436657370630388
Lhx9,0.9052371329264707,-0.42513775900578205,-1.3181644397999783
Etnppl,-0.6023749896304524,-0.54922993998710945,0.09465033899809927
Rps6kl1,1.245862528849089,0.17049354125122554,-1.153076556454833
Ppp1r12c,-1.5338183986748204,-2.1664737497264577,-0.5239376223333082
Ahr,0.9726805228987936,2.9156662247011824,1.8777323045411392
Map1s,-0.24623108823630124,1.857417526635855,2.120277639397833
Tmem129,0.447588857496728,1.7068740826377644,1.227704037765139
Nop9,-0.642121918032745,2.7588992094074647,3.444523074026613
Atp6v0a1,0.35213703614656006,1.0028562292961343,0.6198826569297368
Psmc3ip,-2.2659408441880258,1.775408135017029,4.1908424584797235
Grb7,-0.5170978396449777,2.3964211109604423,2.9455335595715963
Noxo1,-1.0834113076594385,-1.691579299008661,-0.5416092131399269
Zfp687,0.18674655440884222,1.3804128677380927,1.1799848825778
D8Ertd738e,-1.8496838798234836,-1.8614900454566679,0.11594281947411886
Calm3,-3.3389786279660574,2.2227924705724207,5.791781289211097
Cops3,-0.295687839258451,2.1129500402812726,2.428977155714535
Fkbp8,-0.7020118201651959,0.47322558837595924,1.2234591967942146
Ddx39b,-1.4957550946546414,2.729439403688798,4.3268101787932105
Gipc1,-0.2405171264462593,2.4899135626145865,2.744226340265624
Tlcd1,-1.0719431762298919,0.9796314903241408,2.128689296085377
Plscr3,3.4570734995165617,4.5781021507406985,0.8486144733796063
Ptger1,0.32425996669728746,0.8802887733348838,0.533109119659214
Arhgef25,-0.7280566549294418,3.17095180981313,3.877661031113621
Xab2,0.9076077554847516,-2.1730372687178776,-3.141003732308012
Cdc37,-1.36311863762115,0.7093457340737722,2.166216589122155
Rab4a,0.0375131020121192,-0.9898051607358354,-1.0288313346019617
Trip10,-0.11452172442222602,-5.4265502753981325,-5.277494013702439
Cd70,-0.0401292706381528,0.4363728010328671,0.4779008457714187
Cops6,-0.6125392813741855,-0.7442944140043448,-0.08939332957057153
Ubb,-0.4069112190383896,-3.840025633110309,-3.405006825800943
Ap4m1,-0.1892123383264198,-1.0253153576037848,-0.8223844112159817
Gyg,1.1196030737234317,3.418858446286841,2.217418429416661
Rcn3,-0.6397529369523474,-0.8823218888334388,-0.19833428123977598
Slc6a8,-1.9586416735625387,-4.772024611465561,-3.0709438725537934
Arid3a,-0.5372096605620407,6.085852924303854,6.6442971404927995
Pdk4,-1.5713898095459449,-1.6625528513210979,0.008281290988727177
Ubxn6,0.10189372725171653,-1.6943659042430153,-1.8035994134155848
